rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold
r,0.0031884711197562865,625.0724392714883,1.0101010099593506,Continental Europe,domestic_active,87.21721311475409
I0,1.7168788155565968,625.0099320284377,0.9999999999999998,Continental Europe,domestic_active,87.21721311475409
p_D,0.0391857776601412,619.5129269227821,0.11169809114976625,Continental Europe,domestic_active,87.21721311475409
h_D,0.2371399981107351,619.0030409272472,0.02930182365064364,Continental Europe,domestic_active,87.21721311475409
beta,0.1029619417181158,618.9276534485252,0.01711940068305066,Continental Europe,domestic_active,87.21721311475409
p_A,0.0637007630018291,618.8602374336165,0.006225145797074245,Continental Europe,domestic_active,87.21721311475409
h_A,0.2432387686319141,618.8539546709551,0.005209867485031292,Continental Europe,domestic_active,87.21721311475409
alpha,0.0868828206055476,618.7488321013601,-0.011777669808392295,Continental Europe,domestic_active,87.21721311475409
d,0.0054688929340695,605.7425901224481,-2.1135529737732366,Continental Europe,domestic_active,87.21721311475409
r,0.0031884711197562865,543.9036329437135,1.0101010099593428,Continental Europe,domestic_PIs,87.21721311475409
I0,1.7168788155565968,543.8492425811819,0.9999999999999947,Continental Europe,domestic_PIs,87.21721311475409
p_D,0.0391857776601412,539.6675059669875,0.22339618231500932,Continental Europe,domestic_PIs,87.21721311475409
h_D,0.2371399981107351,538.658263329258,0.03596647123021231,Continental Europe,domestic_PIs,87.21721311475409
p_A,0.0637007630018291,538.531637027446,0.012450291594992495,Continental Europe,domestic_PIs,87.21721311475409
h_A,0.2432387686319141,538.5116579559602,0.008739913677605711,Continental Europe,domestic_PIs,87.21721311475409
beta,0.1029619417181158,538.510033665077,0.008438261369647291,Continental Europe,domestic_PIs,87.21721311475409
alpha,0.0868828206055476,538.463160134563,-0.0002667734290398658,Continental Europe,domestic_PIs,87.21721311475409
d,0.0054688929340695,526.3895583119744,-2.2424943773397454,Continental Europe,domestic_PIs,87.21721311475409
r,0.003776983115130861,390.6410606442411,1.0101010100708292,Sinic,domestic_active,60.7682119205298
I0,1.3437790098099975,390.60199653829346,1.0000000000000147,Sinic,domestic_active,60.7682119205298
p_D,0.1194506312818703,386.923327827151,0.048787402219648966,Sinic,domestic_active,60.7682119205298
h_D,0.1453938512257101,386.91439639585957,0.046477955344234954,Sinic,domestic_active,60.7682119205298
beta,0.138629436111989,386.84389904024874,0.028249085600105653,Sinic,domestic_active,60.7682119205298
h_A,0.3106133312235,386.7638632873662,0.007553822614304083,Sinic,domestic_active,60.7682119205298
p_A,0.05836458249026,386.7476408181712,0.003359093956451592,Sinic,domestic_active,60.7682119205298
alpha,0.0916743894865453,386.67340636667893,-0.015836096204290804,Sinic,domestic_active,60.7682119205298
d,0.0068112401162406,378.7062952056133,-2.075933674811373,Sinic,domestic_active,60.7682119205298
r,0.003776983115130861,359.3747956360669,1.0101010100708363,Sinic,domestic_PIs,60.7682119205298
I0,1.3437790098099975,359.3388581566107,1.0000000000000158,Sinic,domestic_PIs,60.7682119205298
p_D,0.1194506312818703,356.1282003413233,0.09757480444073931,Sinic,domestic_PIs,60.7682119205298
h_D,0.1453938512257101,356.0152650722075,0.06583189124952923,Sinic,domestic_PIs,60.7682119205298
beta,0.138629436111989,355.85861486807886,0.021801944980544448,Sinic,domestic_PIs,60.7682119205298
h_A,0.3106133312235,355.82221579035263,0.0115711926783623,Sinic,domestic_PIs,60.7682119205298
p_A,0.05836458249026,355.8049497191545,0.006718187913001827,Sinic,domestic_PIs,60.7682119205298
alpha,0.0916743894865453,355.7697324131714,-0.0031804017428326333,Sinic,domestic_PIs,60.7682119205298
d,0.0068112401162406,348.1085636936684,-2.156518464426197,Sinic,domestic_PIs,60.7682119205298
r,0.013911326976540295,101.75297536348552,1.0101010100778032,United States,domestic_active,45.21531100478469
I0,0.7988849793172288,101.74280006597255,1.0000000000000004,United States,domestic_active,45.21531100478469
p_D,0.0191788048301187,101.10805252579476,0.36988660115127586,United States,domestic_active,45.21531100478469
h_D,0.1880096745970342,100.80964423302052,0.07365691658730403,United States,domestic_active,45.21531100478469
beta,0.0916290731874155,100.78605688981419,0.05024177898253417,United States,domestic_active,45.21531100478469
p_A,0.0540620144144219,100.77987633510946,0.04410634704265569,United States,domestic_active,45.21531100478469
h_A,0.2011797390542625,100.7681806809145,0.032496080046606556,United States,domestic_active,45.21531100478469
alpha,0.1256286337293967,100.70912194527276,-0.026131481765611014,United States,domestic_active,45.21531100478469
d,0.0149035548108155,98.2349469876425,-2.4822430745133994,United States,domestic_active,45.21531100478469
r,0.013911326976540295,58.007012983388194,1.0101010100778194,United States,domestic_PIs,45.21531100478469
I0,0.7988849793172288,58.00121228210317,0.9999999999999948,United States,domestic_PIs,45.21531100478469
p_D,0.0191788048301187,57.851771987704616,0.7397732023109577,United States,domestic_PIs,45.21531100478469
p_A,0.0540620144144219,57.47760070699005,0.0882126940863435,United States,domestic_PIs,45.21531100478469
h_D,0.1880096745970342,57.46417904046858,0.064840970197615,United States,domestic_PIs,45.21531100478469
h_A,0.2011797390542625,57.45811065193449,0.05427382482551493,United States,domestic_PIs,45.21531100478469
alpha,0.1256286337293967,57.44821339072636,0.0370392991545801,United States,domestic_PIs,45.21531100478469
beta,0.0916290731874155,57.42830945667003,0.002379724628589455,United States,domestic_PIs,45.21531100478469
d,0.0149035548108155,55.75426606428919,-2.912703874109146,United States,domestic_PIs,45.21531100478469
