rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold
r,0.0009540761370772088,1935.242367933271,1.0101010099586847,China,domestic_active,92.01793721973095
I0,1.750394740296783,1935.0488436992043,1.0000000000000067,China,domestic_active,92.01793721973095
h_D,0.1453938512257101,1917.4197534639854,0.07984849087671313,China,domestic_active,92.01793721973095
p_D,0.055527274862340256,1916.4743040840092,0.030500699120173263,China,domestic_active,92.01793721973095
h_A,0.0,1915.8899442566378,0.0,China,domestic_active,92.01793721973095
p_A,0.0,1915.8899442566378,0.0,China,domestic_active,92.01793721973095
beta,0.0,1915.8899442566378,0.0,China,domestic_active,92.01793721973095
alpha,0.005291449719096716,1914.5608709570263,-0.0693710671427536,China,domestic_active,92.01793721973095
d,0.0017638165730322387,1877.5518754871828,-2.001057987927911,China,domestic_active,92.01793721973095
r,0.0009540761370772088,1853.1807119886814,1.010101009958694,China,domestic_PIs,92.01793721973095
I0,1.750394740296783,1852.9953939200934,1.0000000000000067,China,domestic_PIs,92.01793721973095
h_D,0.1453938512257101,1836.3317659432857,0.09172660051947239,China,domestic_PIs,92.01793721973095
p_D,0.055527274862340256,1835.7680663562303,0.061001398244600526,China,domestic_PIs,92.01793721973095
h_A,0.0,1834.6489048713795,0.0,China,domestic_PIs,92.01793721973095
p_A,0.0,1834.6489048713795,0.0,China,domestic_PIs,92.01793721973095
beta,0.0,1834.6489048713795,0.0,China,domestic_PIs,92.01793721973095
alpha,0.005291449719096716,1833.3761893477474,-0.06937106714275189,China,domestic_PIs,92.01793721973095
d,0.0017638165730322387,1797.1677507272748,-2.0429605928733476,China,domestic_PIs,92.01793721973095
r,0.0024380146169278305,282.3943992103192,1.0101010100001246,Germany,domestic_active,26.666666666666664
I0,0.6324307358278448,282.3661597706802,1.0000000000000122,Germany,domestic_active,26.666666666666664
p_D,0.06744006077856532,279.7354894797283,0.05903136692469664,Germany,domestic_active,26.666666666666664
h_D,0.2997369090997963,279.68255713765103,0.04009791344660965,Germany,domestic_active,26.666666666666664
beta,0.02876820724517809,279.64906158076127,0.028116834521948898,Germany,domestic_active,26.666666666666664
p_A,0.019178804830118728,279.5745318352229,0.0014581715097494348,Germany,domestic_active,26.666666666666664
h_A,0.17328679513998632,279.57339636218484,0.001052022355979126,Germany,domestic_active,26.666666666666664
alpha,0.04372737741124852,279.4932292089019,-0.027623093982871324,Germany,domestic_active,26.666666666666664
d,0.0044468170929742425,273.8110129836878,-2.060104037211722,Germany,domestic_active,26.666666666666664
r,0.0024380146169278305,262.02423914086535,1.0101010100001098,Germany,domestic_PIs,26.666666666666664
I0,0.6324307358278448,261.998036717213,1.0000000000000036,Germany,domestic_PIs,26.666666666666664
p_D,0.06744006077856532,259.7102562000082,0.11806273385520168,Germany,domestic_PIs,26.666666666666664
h_D,0.2997369090997963,259.53342462588523,0.049894326144208745,Germany,domestic_PIs,26.666666666666664
beta,0.02876820724517809,259.47360484172503,0.02683385486784904,Germany,domestic_PIs,26.666666666666664
p_A,0.019178804830118728,259.41156186006765,0.0029163430196232024,Germany,domestic_PIs,26.666666666666664
h_A,0.17328679513998632,259.4081141921972,0.0015872702552745762,Germany,domestic_PIs,26.666666666666664
alpha,0.04372737741124852,259.3410365578593,-0.02427109552874981,Germany,domestic_PIs,26.666666666666664
d,0.0044468170929742425,253.8733655715139,-2.13205318634243,Germany,domestic_PIs,26.666666666666664
r,0.0010999343762705394,1475.987260333726,1.010101010088924,India,domestic_active,62.129629629629626
I0,1.5173124865669063,1475.8396616078694,1.0000000000000129,India,domestic_active,62.129629629629626
h_D,0.2153458247176379,1462.140193006291,0.06246839358417935,India,domestic_active,62.129629629629626
p_D,0.04087363152576059,1461.9094864657798,0.04667984879995686,India,domestic_active,62.129629629629626
h_A,0.0,1461.2273877305636,0.0,India,domestic_active,62.129629629629626
p_A,0.0,1461.2273877305636,0.0,India,domestic_active,62.129629629629626
beta,0.0,1461.2273877305636,0.0,India,domestic_active,62.129629629629626
alpha,0.0060612740284791385,1460.434996839684,-0.05422776068482757,India,domestic_active,62.129629629629626
d,0.002020424676159713,1431.7917402623423,-2.0144467394590717,India,domestic_active,62.129629629629626
r,0.0010999343762705394,1393.3911952987094,1.0101010100889192,India,domestic_PIs,62.129629629629626
I0,1.5173124865669063,1393.2518561793463,1.0000000000000029,India,domestic_PIs,62.129629629629626
p_D,0.04087363152576059,1380.7451404941473,0.09335969760051105,India,domestic_PIs,62.129629629629626
h_D,0.2153458247176379,1380.4460505297654,0.07167798494490447,India,domestic_PIs,62.129629629629626
h_A,0.0,1379.4572833458874,0.0,India,domestic_PIs,62.129629629629626
p_A,0.0,1379.4572833458874,0.0,India,domestic_PIs,62.129629629629626
beta,0.0,1379.4572833458874,0.0,India,domestic_PIs,62.129629629629626
alpha,0.0060612740284791385,1378.709234551525,-0.05422776068483802,India,domestic_PIs,62.129629629629626
d,0.002020424676159713,1350.9069115448808,-2.06968147152461,India,domestic_PIs,62.129629629629626
r,0.006414007796365695,269.0379030419069,1.0101010100901713,Israel,domestic_active,52.99512195121951
I0,1.295215106303297,269.0109992516316,1.0000000000000098,Israel,domestic_active,52.99512195121951
p_D,0.03507287305978528,266.91356588809737,0.21252004451015946,Israel,domestic_active,52.99512195121951
h_D,0.25993019270997947,266.4508971734759,0.03881138461607261,Israel,domestic_active,52.99512195121951
beta,0.10986122886681096,266.35976020945895,0.0045940723451371,Israel,domestic_active,52.99512195121951
h_A,0.1373265360835137,266.3520939118238,0.001715766018230454,Israel,domestic_active,52.99512195121951
p_A,0.07324081924454064,266.35193060952616,0.0016544542796610693,Israel,domestic_active,52.99512195121951
alpha,0.013896934823175168,266.3357909199748,-0.004405181382911297,Israel,domestic_active,52.99512195121951
d,0.009686299285820989,260.4712031099737,-2.2062607577642015,Israel,domestic_active,52.99512195121951
r,0.006414007796365695,203.9751320387138,1.0101010100901848,Israel,domestic_PIs,52.99512195121951
I0,1.295215106303297,203.95473452553182,1.0000000000000115,Israel,domestic_PIs,52.99512195121951
p_D,0.03507287305978528,202.79368704032166,0.4250400890225756,Israel,domestic_PIs,52.99512195121951
h_D,0.25993019270997947,202.07686132808652,0.07006231856691891,Israel,domestic_PIs,52.99512195121951
h_A,0.1373265360835137,201.9421229037594,0.0033387836183609073,Israel,domestic_PIs,52.99512195121951
p_A,0.07324081924454064,201.9420625754453,0.00330890855937349,Israel,domestic_PIs,52.99512195121951
beta,0.10986122886681096,201.93915394153862,0.0018685300103851357,Israel,domestic_PIs,52.99512195121951
alpha,0.013896934823175168,201.93356368769625,-0.0008998079710446541,Israel,domestic_PIs,52.99512195121951
d,0.009686299285820989,196.98887663073535,-2.4495480039291175,Israel,domestic_PIs,52.99512195121951
r,0.012109799242125519,170.56649940091197,1.0101010100649455,Japan,domestic_active,50.47533632286996
I0,1.2906667134610978,170.54944275103273,0.9999999999999771,Japan,domestic_active,50.47533632286996
p_D,0.035375216737478024,169.35153005665558,0.2905917475865597,Japan,domestic_active,50.47533632286996
h_D,0.11943893062842956,169.1822283356518,0.1903306529411686,Japan,domestic_active,50.47533632286996
h_A,0.0,168.86083440696314,0.0,Japan,domestic_active,50.47533632286996
p_A,0.0,168.86083440696314,0.0,Japan,domestic_active,50.47533632286996
beta,0.0,168.86083440696314,0.0,Japan,domestic_active,50.47533632286996
alpha,0.0065367855255468775,168.7039123926205,-0.09292978735639576,Japan,domestic_active,50.47533632286996
d,0.014575792470416174,164.92075494672972,-2.333329379823879,Japan,domestic_active,50.47533632286996
r,0.012109799242125519,107.65692517751744,1.010101010064937,Japan,domestic_PIs,50.47533632286996
I0,1.2906667134610978,107.6461594850381,0.9999999999999719,Japan,domestic_PIs,50.47533632286996
p_D,0.035375216737478024,107.19978336352865,0.581183495183372,Japan,domestic_PIs,50.47533632286996
h_D,0.11943893062842956,106.89832529021103,0.2983376830268184,Japan,domestic_PIs,50.47533632286996
h_A,0.0,106.58035592578032,0.0,Japan,domestic_PIs,50.47533632286996
p_A,0.0,106.58035592578032,0.0,Japan,domestic_PIs,50.47533632286996
beta,0.0,106.58035592578032,0.0,Japan,domestic_PIs,50.47533632286996
alpha,0.0065367855255468775,106.48131102765478,-0.09292978735641806,Japan,domestic_PIs,50.47533632286996
d,0.014575792470416174,103.67785954686978,-2.72329394445986,Japan,domestic_PIs,50.47533632286996
r,0.0018379357420599263,518.2992698747311,1.0101010099422862,United Kingdom of Great Britain and Northern Ireland,domestic_active,83.6094674556213
I0,0.871325326724111,518.2474399485579,0.9999999999999979,United Kingdom of Great Britain and Northern Ireland,domestic_active,83.6094674556213
p_D,0.05154599254889878,513.4184260571772,0.05888507027092516,United Kingdom of Great Britain and Northern Ireland,domestic_active,83.6094674556213
h_D,0.17328679513998632,513.2663143452011,0.029240383726771485,United Kingdom of Great Britain and Northern Ireland,domestic_active,83.6094674556213
beta,0.04054651081081643,513.1852253726734,0.013437148449600426,United Kingdom of Great Britain and Northern Ireland,domestic_active,83.6094674556213
p_A,0.027031007207210953,513.1223840443388,0.0011901527627106653,United Kingdom of Great Britain and Northern Ireland,domestic_active,83.6094674556213
h_A,0.1373265360835137,513.1217230067907,0.0010613247411738046,United Kingdom of Great Britain and Northern Ireland,domestic_active,83.6094674556213
alpha,0.020860523825667675,513.0538444092873,-0.012167372246745335,United Kingdom of Great Britain and Northern Ireland,domestic_active,83.6094674556213
d,0.003368034545357492,502.59867332396806,-2.049750577138335,United Kingdom of Great Britain and Northern Ireland,domestic_active,83.6094674556213
r,0.0018379357420599263,478.86690071432304,1.0101010099422831,United Kingdom of Great Britain and Northern Ireland,domestic_PIs,83.6094674556213
I0,0.871325326724111,478.81901402500404,1.0000000000000036,United Kingdom of Great Britain and Northern Ireland,domestic_PIs,83.6094674556213
p_D,0.05154599254889878,474.63655430772894,0.11777014055101113,United Kingdom of Great Britain and Northern Ireland,domestic_PIs,83.6094674556213
h_D,0.17328679513998632,474.28482277062403,0.04357742011376284,United Kingdom of Great Britain and Northern Ireland,domestic_PIs,83.6094674556213
beta,0.04054651081081643,474.13454082978546,0.011877601225821384,United Kingdom of Great Britain and Northern Ireland,domestic_PIs,83.6094674556213
p_A,0.027031007207210953,474.08951621826964,0.0023803055255692835,United Kingdom of Great Britain and Northern Ireland,domestic_PIs,83.6094674556213
h_A,0.1373265360835137,474.0868515311664,0.0018182280191585767,United Kingdom of Great Britain and Northern Ireland,domestic_PIs,83.6094674556213
alpha,0.020860523825667675,474.03545988218707,-0.009022102867624105,United Kingdom of Great Britain and Northern Ireland,domestic_PIs,83.6094674556213
d,0.003368034545357492,464.0015881861254,-2.1255233520208345,United Kingdom of Great Britain and Northern Ireland,domestic_PIs,83.6094674556213
r,0.004534389254104099,545.6173344357954,1.0101010100304226,United States of America,domestic_active,132.49329758713137
I0,2.085782803153212,545.5627727027331,1.000000000000003,United States of America,domestic_active,132.49329758713137
p_D,0.05184697123920056,540.8483850604596,0.12722572782825534,United States of America,domestic_active,132.49329758713137
h_D,0.32061866968269215,540.4215443038237,0.048204726804573036,United States of America,domestic_active,132.49329758713137
h_A,0.0,540.161161091815,0.0,United States of America,domestic_active,132.49329758713137
p_A,0.0,540.161161091815,0.0,United States of America,domestic_active,132.49329758713137
beta,0.0,540.161161091815,0.0,United States of America,domestic_active,132.49329758713137
alpha,0.004329247733876779,540.0205662460403,-0.026028314492380515,United States of America,domestic_active,132.49329758713137
d,0.007622284528526945,528.7891081805915,-2.1053074027457686,United States of America,domestic_active,132.49329758713137
r,0.004534389254104099,464.6383885684634,1.010101010030415,United States of America,domestic_PIs,132.49329758713137
I0,2.085782803153212,464.5919247299313,1.0000000000000029,United States of America,domestic_PIs,132.49329758713137
p_D,0.05184697123920056,461.1624610349603,0.2544514556652743,United States of America,domestic_PIs,132.49329758713137
h_D,0.32061866968269215,460.3195778520846,0.07121279623327122,United States of America,domestic_PIs,132.49329758713137
h_A,0.0,459.9920046831003,0.0,United States of America,domestic_PIs,132.49329758713137
p_A,0.0,459.9920046831003,0.0,United States of America,domestic_PIs,132.49329758713137
beta,0.0,459.9920046831003,0.0,United States of America,domestic_PIs,132.49329758713137
alpha,0.004329247733876779,459.87227651748157,-0.026028314492377705,United States of America,domestic_PIs,132.49329758713137
d,0.007622284528526945,449.6269193661009,-2.2533185819479966,United States of America,domestic_PIs,132.49329758713137
