rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold
r,0.002388337689126274,759.720593567091,1.0101010099380978,Anglosphere ex-US,domestic_active,119.77848101265822
I0,1.5547985664698791,759.6446215089592,0.9999999999999627,Anglosphere ex-US,domestic_active,119.77848101265822
p_D,0.0191788048301187,752.9935183708936,0.11568989245226344,Anglosphere ex-US,domestic_active,119.77848101265822
beta,0.0559615787935422,752.4704156446671,0.04613977144445671,Anglosphere ex-US,domestic_active,119.77848101265822
p_A,0.0732408192445406,752.3085222142643,0.024614921524227264,Anglosphere ex-US,domestic_active,119.77848101265822
h_D,0.150496600540742,752.2562664394802,0.017667155287556597,Anglosphere ex-US,domestic_active,119.77848101265822
h_A,0.3805653047154277,752.1979503526994,0.009913628706719062,Anglosphere ex-US,domestic_active,119.77848101265822
alpha,0.1950118754417091,752.0782687035083,-0.005998873305455668,Anglosphere ex-US,domestic_active,119.77848101265822
d,0.0039699424434524,735.8590643796209,-2.1624541292626773,Anglosphere ex-US,domestic_active,119.77848101265822
r,0.002388337689126274,657.5718372623005,1.0101010099381027,Anglosphere ex-US,domestic_PIs,119.77848101265822
I0,1.5547985664698791,657.5060800796344,0.999999999999962,Anglosphere ex-US,domestic_PIs,119.77848101265822
p_D,0.0191788048301187,652.5023923104742,0.23137978492305125,Anglosphere ex-US,domestic_PIs,119.77848101265822
p_A,0.0732408192445406,651.3166032583345,0.04922984305238716,Anglosphere ex-US,domestic_PIs,119.77848101265822
alpha,0.1950118754417091,651.1733295242201,0.027221457755330043,Anglosphere ex-US,domestic_PIs,119.77848101265822
beta,0.0559615787935422,651.1333368371213,0.021078151222729765,Anglosphere ex-US,domestic_PIs,119.77848101265822
h_A,0.3805653047154277,651.0899596529298,0.014414949564104485,Anglosphere ex-US,domestic_PIs,119.77848101265822
h_D,0.150496600540742,650.9772771837694,-0.002894288677194232,Anglosphere ex-US,domestic_PIs,119.77848101265822
d,0.0039699424434524,636.0701580253775,-2.2927879955387716,Anglosphere ex-US,domestic_PIs,119.77848101265822
r,0.002612865522451102,1167.9530709947069,1.0101010099611403,Continental Europe,domestic_active,129.0692124105012
I0,2.7634335047483307,1167.8362756892245,1.0,Continental Europe,domestic_active,129.0692124105012
p_D,0.0525638240242846,1157.0471448663184,0.06690497992074386,Continental Europe,domestic_active,129.0692124105012
beta,0.0538996500732687,1156.8192796266621,0.04719811716577617,Continental Europe,domestic_active,129.0692124105012
