rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold
alpha,0.1950118754417091,20.0,3.9002375088341816,397.27880329886375,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,411.2006339256478,119.77848101265822
beta,0.0559615787935422,0.001,5.59615787935422e-05,189.76837889548045,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,411.2006339256478,119.77848101265822
h_D,0.150496600540742,0.001,0.000150496600540742,396.52471778804875,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,411.2006339256478,119.77848101265822
h_A,0.3805653047154277,0.001,0.0003805653047154277,394.807731173648,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,411.2006339256478,119.77848101265822
p_D,0.0191788048301187,0.001,1.91788048301187e-05,402.38179364798316,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,411.2006339256478,119.77848101265822
p_A,0.0732408192445406,0.001,7.32408192445406e-05,410.87676888323733,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,411.2006339256478,119.77848101265822
d,0.0039699424434524,3.103838369719329,0.012322059681564869,119.77848101265822,True,-1,crossing_found,Anglosphere ex-US,domestic_active,411.2006339256478,119.77848101265822
epsilon,0.014285714285714285,20.0,0.2857142857142857,379.41012103897174,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,411.2006339256478,119.77848101265822
r,0.002388337689126274,0.001,2.3883376891262743e-06,377.4428947856502,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,411.2006339256478,119.77848101265822
I0,1.5603713544111737,0.2534143873897802,0.39542055087866923,119.77848101265822,True,1,crossing_found,Anglosphere ex-US,domestic_active,411.2006339256478,119.77848101265822
alpha,0.1950118754417091,0.001,0.0001950118754417091,345.5596340518575,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,411.2006339256478,119.77848101265822
beta,0.0559615787935422,0.001,5.59615787935422e-05,153.77838554234026,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,411.2006339256478,119.77848101265822
h_D,0.150496600540742,20.0,3.0099320108148397,354.89607064029343,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,411.2006339256478,119.77848101265822
h_A,0.3805653047154277,0.001,0.0003805653047154277,319.02960337613644,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,411.2006339256478,119.77848101265822
p_D,0.0191788048301187,0.00604504093680779,0.00011593666031711451,119.77848101265822,True,1,crossing_found,Anglosphere ex-US,domestic_PIs,411.2006339256478,119.77848101265822
p_A,0.0732408192445406,0.001,7.32408192445406e-05,336.1215581256963,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,411.2006339256478,119.77848101265822
d,0.0039699424434524,2.3524451166190268,0.009339071714358205,119.77848101265822,True,-1,crossing_found,Anglosphere ex-US,domestic_PIs,411.2006339256478,119.77848101265822
epsilon,0.014285714285714285,20.0,0.2857142857142857,328.39627157675045,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,411.2006339256478,119.77848101265822
r,0.002388337689126274,0.001,2.3883376891262743e-06,326.6935500859014,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,411.2006339256478,119.77848101265822
I0,1.5603713544111737,0.2990497528685888,0.4666286679198867,119.77848101265822,True,1,crossing_found,Anglosphere ex-US,domestic_PIs,411.2006339256478,119.77848101265822
alpha,0.1026976899039694,20.0,2.053953798079388,596.3637817161605,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_active,632.6740491806158,129.0692124105012
beta,0.0538996500732687,0.001,5.38996500732687e-05,413.70211867658315,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,632.6740491806158,129.0692124105012
h_D,0.1732867951399863,0.001,0.0001732867951399863,593.3341294346753,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,632.6740491806158,129.0692124105012
h_A,0.2599301927099794,0.001,0.00025993019270997944,624.0697344036639,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,632.6740491806158,129.0692124105012
p_D,0.0525638240242846,0.001,5.2563824024284596e-05,609.2608111607799,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,632.6740491806158,129.0692124105012
p_A,0.0595878584014731,0.001,5.95878584014731e-05,632.5537860077126,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,632.6740491806158,129.0692124105012
d,0.004632311607725,4.371286009432101,0.020249158922178212,129.0692124105012,True,-1,crossing_found,Continental Europe,domestic_active,632.6740491806158,129.0692124105012
epsilon,0.008695652173913044,20.0,0.17391304347826086,583.3418592327639,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_active,632.6740491806158,129.0692124105012
r,0.002612865522451102,0.001,2.6128655224511023e-06,580.2838786324581,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,632.6740491806158,129.0692124105012
I0,2.77344948925106,0.16757091647620606,0.4647494727142657,129.0692124105012,True,1,crossing_found,Continental Europe,domestic_active,632.6740491806158,129.0692124105012
alpha,0.1026976899039694,20.0,2.053953798079388,568.4373860927805,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,632.6740491806158,129.0692124105012
beta,0.0538996500732687,0.001,5.38996500732687e-05,370.5629914749337,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,632.6740491806158,129.0692124105012
h_D,0.1732867951399863,0.001,0.0001732867951399863,537.2951002613622,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,632.6740491806158,129.0692124105012
h_A,0.2599301927099794,0.001,0.00025993019270997944,558.688788245043,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,632.6740491806158,129.0692124105012
p_D,0.0525638240242846,0.006845696862933433,0.0003598360052268301,129.0692124105012,True,1,crossing_found,Continental Europe,domestic_PIs,632.6740491806158,129.0692124105012
p_A,0.0595878584014731,0.001,5.95878584014731e-05,570.7832334126718,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,632.6740491806158,129.0692124105012
d,0.004632311607725,3.3683383187073455,0.015603192692492947,129.0692124105012,True,-1,crossing_found,Continental Europe,domestic_PIs,632.6740491806158,129.0692124105012
epsilon,0.008695652173913044,20.0,0.17391304347826086,533.5738222562854,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,632.6740491806158,129.0692124105012
r,0.002612865522451102,0.001,2.6128655224511023e-06,530.7767344569687,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,632.6740491806158,129.0692124105012
I0,2.77344948925106,0.18590635980341172,0.515601898645296,129.0692124105012,True,1,crossing_found,Continental Europe,domestic_PIs,632.6740491806158,129.0692124105012
alpha,0.032785049041009,20.0,0.6557009808201799,770.3541211154103,False,-1,no_crossing_in_scanned_range,Hindu,domestic_active,781.2337582644885,66.04072398190046
beta,0.1791759469228055,0.001,0.0001791759469228055,669.0836162623124,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,781.2337582644885,66.04072398190046
h_D,0.1732867951399863,0.001,0.0001732867951399863,765.0868967835099,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,781.2337582644885,66.04072398190046
h_A,0.1373265360835137,0.001,0.0001373265360835137,781.1094415170998,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,781.2337582644885,66.04072398190046
p_D,0.049814293455348,0.001,4.9814293455348e-05,761.0790098989186,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,781.2337582644885,66.04072398190046
p_A,0.0610860487916103,0.001,6.108604879161031e-05,781.2318268837638,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,781.2337582644885,66.04072398190046
d,0.0020204246761597,11.371071589934523,0.022974393634682226,66.04072398190046,True,-1,crossing_found,Hindu,domestic_active,781.2337582644885,66.04072398190046
epsilon,0.015384615384615385,20.0,0.3076923076923077,751.5235432203841,False,-1,no_crossing_in_scanned_range,Hindu,domestic_active,781.2337582644885,66.04072398190046
r,0.0010637672526172537,0.001,1.0637672526172538e-06,749.8547267465741,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,781.2337582644885,66.04072398190046
I0,1.5178876194691953,0.06570734470285662,0.09973636503266087,66.04072398190046,True,1,crossing_found,Hindu,domestic_active,781.2337582644885,66.04072398190046
alpha,0.032785049041009,20.0,0.6557009808201799,741.6913862077997,False,-1,no_crossing_in_scanned_range,Hindu,domestic_PIs,781.2337582644885,66.04072398190046
beta,0.1791759469228055,0.001,0.0001791759469228055,636.074617717501,False,1,no_crossing_in_scanned_range,Hindu,domestic_PIs,781.2337582644885,66.04072398190046
h_D,0.1732867951399863,0.001,0.0001732867951399863,649.8985538111075,False,1,no_crossing_in_scanned_range,Hindu,domestic_PIs,781.2337582644885,66.04072398190046
h_A,0.1373265360835137,0.001,0.0001373265360835137,742.0140461467311,False,1,no_crossing_in_scanned_range,Hindu,domestic_PIs,781.2337582644885,66.04072398190046
p_D,0.049814293455348,0.0033857486817362318,0.0001686586783980663,66.04072398190046,True,1,crossing_found,Hindu,domestic_PIs,781.2337582644885,66.04072398190046
p_A,0.0610860487916103,0.001,6.108604879161031e-05,742.7677184410817,False,1,no_crossing_in_scanned_range,Hindu,domestic_PIs,781.2337582644885,66.04072398190046
d,0.0020204246761597,8.012517042670977,0.016188687151162586,66.04072398190046,True,-1,crossing_found,Hindu,domestic_PIs,781.2337582644885,66.04072398190046
epsilon,0.015384615384615385,20.0,0.3076923076923077,715.0667671975691,False,-1,no_crossing_in_scanned_range,Hindu,domestic_PIs,781.2337582644885,66.04072398190046
r,0.0010637672526172537,0.001,1.0637672526172538e-06,713.4789058301662,False,1,no_crossing_in_scanned_range,Hindu,domestic_PIs,781.2337582644885,66.04072398190046
I0,1.5178876194691953,0.06961908028800218,0.1056739400479904,66.04072398190046,True,1,crossing_found,Hindu,domestic_PIs,781.2337582644885,66.04072398190046
alpha,0.0753308539571762,20.0,1.506617079143524,460.5601382421607,False,-1,no_crossing_in_scanned_range,Islamic,domestic_active,469.05981546918076,126.52032520325203
beta,0.1504077396776274,0.001,0.00015040773967762741,277.90622606387024,False,1,no_crossing_in_scanned_range,Islamic,domestic_active,469.05981546918076,126.52032520325203
h_D,0.095267506505862,0.001,9.526750650586201e-05,459.8057627955319,False,1,no_crossing_in_scanned_range,Islamic,domestic_active,469.05981546918076,126.52032520325203
h_A,0.1880096745970342,0.001,0.00018800967459703418,467.2585071800298,False,1,no_crossing_in_scanned_range,Islamic,domestic_active,469.05981546918076,126.52032520325203
p_D,0.0391857776601412,0.001,3.9185777660141196e-05,458.0818603443891,False,1,no_crossing_in_scanned_range,Islamic,domestic_active,469.05981546918076,126.52032520325203
p_A,0.0462098120373296,0.001,4.62098120373296e-05,469.05028147867404,False,1,no_crossing_in_scanned_range,Islamic,domestic_active,469.05981546918076,126.52032520325203
d,0.0025844453130496,3.588357171216581,0.009273912872698614,126.52032520325203,True,-1,crossing_found,Islamic,domestic_active,469.05981546918076,126.52032520325203
epsilon,0.022222222222222223,20.0,0.4444444444444445,448.22825106265964,False,-1,no_crossing_in_scanned_range,Islamic,domestic_active,469.05981546918076,126.52032520325203
r,0.001410013616350625,0.001,1.410013616350625e-06,447.0403706056537,False,1,no_crossing_in_scanned_range,Islamic,domestic_active,469.05981546918076,126.52032520325203
I0,1.1658954861126645,0.24372727290639473,0.2841605273241151,126.52032520325203,True,1,crossing_found,Islamic,domestic_active,469.05981546918076,126.52032520325203
alpha,0.0753308539571762,0.001,7.53308539571762e-05,432.3421900103214,False,1,no_crossing_in_scanned_range,Islamic,domestic_PIs,469.05981546918076,126.52032520325203
beta,0.1504077396776274,0.001,0.00015040773967762741,254.7516910166447,False,1,no_crossing_in_scanned_range,Islamic,domestic_PIs,469.05981546918076,126.52032520325203
h_D,0.095267506505862,0.001,9.526750650586201e-05,411.92810876496935,False,1,no_crossing_in_scanned_range,Islamic,domestic_PIs,469.05981546918076,126.52032520325203
h_A,0.1880096745970342,0.001,0.00018800967459703418,426.78727951363425,False,1,no_crossing_in_scanned_range,Islamic,domestic_PIs,469.05981546918076,126.52032520325203
p_D,0.0391857776601412,0.01914316349312169,0.0007501397483531985,126.52032520325203,True,1,crossing_found,Islamic,domestic_PIs,469.05981546918076,126.52032520325203
p_A,0.0462098120373296,0.001,4.62098120373296e-05,431.83117824909556,False,1,no_crossing_in_scanned_range,Islamic,domestic_PIs,469.05981546918076,126.52032520325203
d,0.0025844453130496,2.9100391762831967,0.007520837109935827,126.52032520325203,True,-1,crossing_found,Islamic,domestic_PIs,469.05981546918076,126.52032520325203
epsilon,0.022222222222222223,20.0,0.4444444444444445,414.55305004522234,False,-1,no_crossing_in_scanned_range,Islamic,domestic_PIs,469.05981546918076,126.52032520325203
r,0.001410013616350625,0.001,1.410013616350625e-06,413.45441455008466,False,1,no_crossing_in_scanned_range,Islamic,domestic_PIs,469.05981546918076,126.52032520325203
I0,1.1658954861126645,0.2658811330132,0.3099896128226108,126.52032520325203,True,1,crossing_found,Islamic,domestic_PIs,469.05981546918076,126.52032520325203
alpha,0.032785049041009,20.0,0.6557009808201799,116.03947304123966,False,-1,no_crossing_in_scanned_range,Japanese,domestic_active,129.34514016208158,50.47533632286996
beta,0.1098612288668109,0.001,0.0001098612288668109,102.9210654536692,False,1,no_crossing_in_scanned_range,Japanese,domestic_active,129.34514016208158,50.47533632286996
h_D,0.1094335921692375,0.001,0.0001094335921692375,114.88041032714276,False,1,no_crossing_in_scanned_range,Japanese,domestic_active,129.34514016208158,50.47533632286996
h_A,0.2239699336535069,0.001,0.0002239699336535069,128.5762695332814,False,1,no_crossing_in_scanned_range,Japanese,domestic_active,129.34514016208158,50.47533632286996
p_D,0.0419072439614916,0.001,4.1907243961491596e-05,106.68339820013747,False,1,no_crossing_in_scanned_range,Japanese,domestic_active,129.34514016208158,50.47533632286996
p_A,0.0270310072072109,0.001,2.70310072072109e-05,129.2601517439001,False,1,no_crossing_in_scanned_range,Japanese,domestic_active,129.34514016208158,50.47533632286996
d,0.0133978920453826,2.2679925888574,0.030386319865239254,50.47533632286996,True,-1,crossing_found,Japanese,domestic_active,129.34514016208158,50.47533632286996
epsilon,0.01818181818181818,20.0,0.36363636363636365,106.64386301482092,False,-1,no_crossing_in_scanned_range,Japanese,domestic_active,129.34514016208158,50.47533632286996
r,0.009925676288730756,0.001,9.925676288730757e-06,104.75054731891845,False,1,no_crossing_in_scanned_range,Japanese,domestic_active,129.34514016208158,50.47533632286996
I0,1.4384263987258503,0.33457814002784525,0.4812660290526467,50.47533632286996,True,1,crossing_found,Japanese,domestic_active,129.34514016208158,50.47533632286996
alpha,0.032785049041009,20.0,0.6557009808201799,89.38483137281213,False,-1,no_crossing_in_scanned_range,Japanese,domestic_PIs,129.34514016208158,50.47533632286996
beta,0.1098612288668109,0.001,0.0001098612288668109,69.53279734315267,False,1,no_crossing_in_scanned_range,Japanese,domestic_PIs,129.34514016208158,50.47533632286996
h_D,0.1094335921692375,0.001,0.0001094335921692375,53.92026206857299,False,1,no_crossing_in_scanned_range,Japanese,domestic_PIs,129.34514016208158,50.47533632286996
h_A,0.2239699336535069,0.001,0.0002239699336535069,86.80813647527931,False,1,no_crossing_in_scanned_range,Japanese,domestic_PIs,129.34514016208158,50.47533632286996
p_D,0.0419072439614916,0.2467561952013101,0.010340872071310745,50.47533632286996,True,1,crossing_found,Japanese,domestic_PIs,129.34514016208158,50.47533632286996
p_A,0.0270310072072109,0.001,2.70310072072109e-05,88.68502196376767,False,1,no_crossing_in_scanned_range,Japanese,domestic_PIs,129.34514016208158,50.47533632286996
d,0.0133978920453826,1.454896313189703,0.019492543741340795,50.47533632286996,True,-1,crossing_found,Japanese,domestic_PIs,129.34514016208158,50.47533632286996
epsilon,0.01818181818181818,20.0,0.36363636363636365,73.78546336814166,False,-1,no_crossing_in_scanned_range,Japanese,domestic_PIs,129.34514016208158,50.47533632286996
r,0.009925676288730756,0.001,9.925676288730757e-06,72.47550354509094,False,1,no_crossing_in_scanned_range,Japanese,domestic_PIs,129.34514016208158,50.47533632286996
I0,1.4384263987258503,0.514980145259196,0.7407610357605006,50.47533632286996,True,1,crossing_found,Japanese,domestic_PIs,129.34514016208158,50.47533632286996
alpha,0.0638320420426842,20.0,1.276640840853684,224.34704495429048,False,-1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,234.3394457306839,104.59615384615385
beta,0.0980829253011726,0.001,9.80829253011726e-05,151.0716406751169,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,234.3394457306839,104.59615384615385
h_D,0.1033348216480584,0.001,0.00010333482164805841,223.92737942486767,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,234.3394457306839,104.59615384615385
h_A,0.2599301927099794,0.001,0.00025993019270997944,232.27798947408968,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,234.3394457306839,104.59615384615385
