rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold,period
alpha,0.1760087790415523,20.0,3.520175580831046,677.2874840452864,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
beta,0.04700036292457356,0.001,4.700036292457356e-05,215.42610048851725,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
h_D,0.1373265360835137,0.001,0.0001373265360835137,656.1213310322893,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
h_A,0.34657359027997264,0.001,0.00034657359027997266,588.3005675221575,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
p_D,0.022431482441414193,0.001,2.2431482441414193e-05,423.26209229285763,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
p_A,0.07754338732037873,0.001,7.754338732037873e-05,657.6988453504653,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
d,0.005053987678095924,3.0142429797326935,0.015233946878356176,119.77848101265822,True,-1,crossing_found,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
r,0.003133363464030481,0.001,3.133363464030481e-06,349.79833846065316,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
I0,1.8746239109865739,0.17129641144620866,0.321116348763257,119.77848101265822,True,1,crossing_found,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
alpha,0.1760087790415523,0.001,0.0001760087790415523,570.3309315519775,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
beta,0.04700036292457356,0.001,4.700036292457356e-05,170.05496313356488,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
h_D,0.1373265360835137,0.001,0.0001373265360835137,586.1705657459098,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
h_A,0.34657359027997264,0.001,0.00034657359027997266,463.68126232209573,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
p_D,0.022431482441414193,0.001,2.2431482441414193e-05,126.01106212019313,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
p_A,0.07754338732037873,0.001,7.754338732037873e-05,527.1811412663319,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
d,0.005053987678095924,2.343179482129414,0.011842400230249246,119.77848101265822,True,-1,crossing_found,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
r,0.003133363464030481,0.001,3.133363464030481e-06,299.2888813103655,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
I0,1.8746239109865739,0.20020523263615458,0.375309516204365,119.77848101265822,True,1,crossing_found,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
alpha,0.08801123836674946,20.0,1.7602247673349891,923.2439112005937,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_active,1053.657227055307,129.0692124105012,early
beta,0.04353180712578457,0.001,4.353180712578457e-05,563.3937277221902,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,1053.657227055307,129.0692124105012,early
h_D,0.17328679513998632,0.001,0.00017328679513998633,853.819698631013,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,1053.657227055307,129.0692124105012,early
h_A,0.21682513192351327,0.001,0.00021682513192351326,999.6105642412712,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,1053.657227055307,129.0692124105012,early
p_D,0.04981429345534807,0.001,4.981429345534807e-05,571.5872140649724,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,1053.657227055307,129.0692124105012,early
p_A,0.05080933680312645,0.001,5.080933680312645e-05,1037.0757288769425,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,1053.657227055307,129.0692124105012,early
d,0.006011865813346262,4.0912061644055395,0.02459578247514115,129.0692124105012,True,-1,crossing_found,Continental Europe,domestic_active,1053.657227055307,129.0692124105012,early
r,0.0035489432400481746,0.001,3.5489432400481747e-06,527.0921596282092,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,1053.657227055307,129.0692124105012,early
I0,3.306853271795593,0.12249639550351249,0.4050776062539572,129.0692124105012,True,1,crossing_found,Continental Europe,domestic_active,1053.657227055307,129.0692124105012,early
alpha,0.08801123836674946,20.0,1.7602247673349891,864.4403359508173,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,1053.657227055307,129.0692124105012,early
beta,0.04353180712578457,0.001,4.353180712578457e-05,486.10929566057393,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,1053.657227055307,129.0692124105012,early
h_D,0.17328679513998632,0.001,0.00017328679513998633,738.008185196409,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,1053.657227055307,129.0692124105012,early
h_A,0.21682513192351327,0.001,0.00021682513192351326,862.2143497241613,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,1053.657227055307,129.0692124105012,early
p_D,0.04981429345534807,0.013345890100317701,0.0006648160858800506,129.0692124105012,True,1,crossing_found,Continental Europe,domestic_PIs,1053.657227055307,129.0692124105012,early
p_A,0.05080933680312645,0.001,5.080933680312645e-05,902.458157967958,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,1053.657227055307,129.0692124105012,early
d,0.006011865813346262,3.0576595836812177,0.018382239119983677,129.0692124105012,True,-1,crossing_found,Continental Europe,domestic_PIs,1053.657227055307,129.0692124105012,early
r,0.0035489432400481746,0.001,3.5489432400481747e-06,466.12573118851464,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,1053.657227055307,129.0692124105012,early
